id,category,title,description,price,inventory_status,rating,image_url
SKU-10000,Camping,Cymbal Pro Camping Lantern,Experience the pro design of our camping lantern. Perfect for outdoor enthusiasts and athletes.,69.83,IN_STOCK,4.7,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10000.png
SKU-10001,Baseball,Cymbal Comfort Baseball Cleats,Experience the comfort design of our baseball cleats. Perfect for outdoor enthusiasts and athletes.,78.08,IN_STOCK,4.8,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10001.png
SKU-10002,Apparel,Cymbal Comfort Leggings,Experience the comfort design of our apparel leggings. Perfect for outdoor enthusiasts and athletes.,47.98,LOW_STOCK,4.6,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10002.png
SKU-10003,Footwear,Cymbal Speed Boots,Experience the speed design of our footwear boots. Perfect for outdoor enthusiasts and athletes.,212.1,IN_STOCK,4.0,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10003.png
SKU-10004,Hunting,Cymbal Tech Hunting Vest,Experience the tech design of our hunting vest. Perfect for outdoor enthusiasts and athletes.,101.4,LOW_STOCK,4.9,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10004.png
SKU-10005,Football,Cymbal Ultra Football Shoulder Pads,Experience the ultra design of our football shoulder pads. Perfect for outdoor enthusiasts and athletes.,203.74,IN_STOCK,4.8,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10005.png
SKU-10006,Apparel,Cymbal Speed Jacket,Experience the speed design of our apparel jacket. Perfect for outdoor enthusiasts and athletes.,240.42,IN_STOCK,4.2,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10006.png
SKU-10007,Camping,Cymbal Elite Camping Cooler,Experience the elite design of our camping cooler. Perfect for outdoor enthusiasts and athletes.,210.42,IN_STOCK,5.0,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10007.png
SKU-10008,Camping,Cymbal Lightweight Camping Stove,Experience the lightweight design of our camping stove. Perfect for outdoor enthusiasts and athletes.,74.91,IN_STOCK,3.5,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10008.png
SKU-10009,Hunting,Cymbal Tech Hunting Boots,Experience the tech design of our hunting boots. Perfect for outdoor enthusiasts and athletes.,204.72,OUT_OF_STOCK,4.9,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10009.png
SKU-10010,Footwear,Cymbal Vent Running Shoes,Experience the vent design of our footwear running shoes. Perfect for outdoor enthusiasts and athletes.,116.28,LOW_STOCK,4.0,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10010.png
SKU-10011,Golf,Cymbal Ultra Golf Bag,Experience the ultra design of our golf bag. Perfect for outdoor enthusiasts and athletes.,218.44,IN_STOCK,4.6,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10011.png
SKU-10012,Golf,Cymbal Durable Golf Shoes,Experience the durable design of our golf shoes. Perfect for outdoor enthusiasts and athletes.,90.6,IN_STOCK,4.7,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10012.png
SKU-10013,Baseball,Cymbal Elite Baseball Glove,Experience the elite design of our baseball glove. Perfect for outdoor enthusiasts and athletes.,75.43,IN_STOCK,4.6,https://storage.googleapis.com/cymbal-sports-prod-images-dar/SKU-10013.png
